24,26,48,37,12,31
45,9,27,30,33,22
24,56,1,3,51,37
36,56,60,28,44,39
53,20,17,37,45,18
17,14,30,10,18,23
18,56,1,5,49,55
14,28,17,18,30,44
5,57,56,59,32,3
15,60,22,53,56,4
48,56,19,38,29,8
2,59,24,38,16,43
51,47,21,26,13,4
22,37,3,41,43,20
37,45,1,27,10,36
32,4,25,39,40,5
59,23,28,55,33,38
22,41,2,17,60,58
20,8,3,36,57,38
22,23,44,3,60,53
6,1,22,16,5,39
49,17,53,51,8,52
54,3,41,12,45,19
5,15,52,34,45,24
50,21,13,46,35,19
47,52,10,49,34,7
49,39,4,15,41,10
25,32,13,57,8,44
50,8,37,59,39,60
51,45,41,53,58,48
4,34,6,35,12,53
21,44,40,34,22,29
43,26,5,51,3,19
42,14,41,55,44,33
45,43,14,16,38,3
39,21,16,44,20,55
58,32,11,27,59,40
32,55,25,16,5,39
38,11,56,59,47,19
26,47,9,29,46,12
14,5,48,52,46,23
46,31,26,58,38,7
33,41,8,12,30,14
22,1,54,4,10,53
44,4,56,9,37,43
33,10,52,31,42,30
53,48,29,43,38,22
11,16,41,17,46,59
13,10,41,25,42,3
40,34,57,31,17,56
54,42,48,36,23,58
19,8,9,33,17,56
60,12,38,47,5,32
59,36,41,54,14,11
54,49,34,38,40,20
32,1,57,44,35,45
1,37,36,21,8,27
31,56,6,4,50,9
21,10,35,20,17,15
2,23,28,46,17,39
20,49,33,37,50,38
46,49,2,55,7,32
60,45,1,44,58,40
38,30,22,49,56,39
55,15,28,60,42,18
18,5,13,23,36,35
30,8,23,29,55,36
51,8,48,42,33,40
5,55,38,30,28,52
22,41,53,42,35,57
1,10,45,19,35,34
54,53,20,2,13,3
29,54,53,8,3,23
2,43,7,52,24,56
11,31,16,42,51,37
3,16,57,23,45,41
37,32,21,11,16,8
35,18,28,17,16,47
33,49,15,59,24,53
44,47,15,40,51,45
50,49,19,47,10,46
52,41,28,55,40,34
59,53,38,21,50,56
14,44,22,9,24,47
44,24,10,34,14,15
56,57,8,10,51,58
13,51,26,60,31,46
17,39,11,6,15,2
14,49,52,31,20,21
32,48,30,40,35,18
52,13,19,42,49,29
13,58,51,27,1,41
25,32,47,11,37,56
17,43,20,35,37,15
31,1,12,13,5,17
49,9,7,2,41,25
42,9,41,54,46,47
46,32,15,12,23,33
47,38,2,34,51,8
37,11,55,25,4,19
41,19,55,1,46,48
38,54,32,15,5,28
32,30,36,33,22,5
28,14,40,2,51,1
8,53,9,57,32,52
52,44,29,38,7,40
11,36,26,25,8,22
26,19,46,56,45,39
60,11,56,37,53,55
25,3,28,29,9,39
56,3,19,25,37,44
57,27,24,11,32,5
46,38,31,10,54,49
17,3,38,53,16,37
51,18,48,60,38,16
7,30,2,46,10,20
32,48,35,57,2,3
8,44,60,5,39,29
10,53,43,48,35,50
19,57,27,11,60,2
3,11,27,46,7,10
6,37,57,26,11,7
29,12,60,26,35,10
4,14,29,6,5,38
48,37,22,3,40,41
16,60,36,34,9,49
7,26,43,44,34,29
10,59,35,43,7,27
58,39,49,2,52,29
29,38,57,4,30,43
17,43,31,13,55,54
29,43,12,8,54,60
21,38,59,53,49,48
19,35,1,40,47,54
32,12,14,34,33,10
60,29,6,30,25,22
8,38,13,33,11,48
9,26,36,25,21,53
52,42,35,27,51,44
36,59,17,30,8,54
6,14,48,46,20,39
3,25,2,49,42,39
44,11,4,45,57,12
42,44,5,25,36,16
32,28,38,51,27,26
53,34,25,15,23,11
5,8,13,27,50,36
